nop,nome
1440,Gabriela Matos
1454,Noa Alves
1497,Noa Azevedo-Torres
1520,Camila Pacheco
1521,Eduarda Macedo
1525,Miguel Nascimento
1528,Lorena Valente
1529,Isabela Magalhães
1530,Rafael Guerreiro
1548,Hugo Nogueira
1554,Valentina Leite
1561,Petra Batista
1563,Carlos do Antunes
1587,Luana Esteves
1591,Soraia de Borges
1602,André Reis-Santos
1608,Isabel Nogueira
1620,Sofia Faria
1623,Gonçalo do Melo
1624,Daniela do Barros
1626,Fabiana-Emília Pinheiro
1629,Leonardo Assunção
1631,Martim Carvalho
1650,Rui Marques-Gonçalves
1652,Marcos Paiva
1660,Manuel Macedo
1662,Rodrigo Teixeira
1664,Frederico Nascimento
1666,Ivan de Melo
1669,Íris Alves
1676,Lucas Vaz
1684,Leonardo de Barbosa
1691,Dinis Branco
1703,Luca da Monteiro
1713,Alexandra Amorim
1717,David Azevedo
1719,Joel Reis
1728,Marcos Amaral
1731,Sérgio Paiva
1733,Diana Branco
1745,Gil Amaral
1760,Laura Almeida
1762,Jaime Henriques
1766,Júlia Henriques
1768,Matilde Santos
1772,Francisco Vieira
1778,Alícia Lopes
1779,Simão Fonseca
1780,William Coelho-Almeida
1787,Júlia Monteiro
1788,Eduarda Mendes-Lopes
1789,Carolina Lima
1796,Isabela Gomes
1797,Diogo Garcia
1798,Érica Silva
1799,António Matias
1804,William Jesus
1824,Francisca Anjos-Reis
1828,Érica Faria
1833,Paulo Valente
1834,Paulo Rodrigues
1838,Samuel Reis
1839,Fernando Pacheco
1844,Vitória Mota
1845,Benedita Neves
1851,Luana do Nunes
1853,Petra Amaral
1854,Carlota Lourenço
1863,Íris Freitas
1873,Pilar Matos-Neto
1877,Bryan Costa
1881,Paulo Coelho
1885,Beatriz Batista
1902,Clara Matos-Amaral
1905,Lisandro Matos
1915,Luísa Vicente
1916,Ivan Freitas
1923,Pilar-Larissa Lourenço
1926,Rúben Baptista-Ramos
1934,Eduarda Tavares-Vicente
1937,Laura Henriques
1938,Xavier Vicente
1943,Larissa-Adriana Vaz
1944,Clara-Eduarda Tavares
1946,Inês Amaral
1949,Fabiana Oliveira-Nascimento
1955,Camila-Sara Torres
1959,Erika-Júlia Neves
1960,Alice Magalhães
1963,Lúcia Cardoso
1967,Benjamim do Martins
1970,Mara Vaz
1971,Ângela-Camila Melo
1979,Sofia Pinto
1986,Luana Mota
1998,Raquel Cruz
2003,Rita Nogueira
2009,Mafalda Almeida
2012,Rita Vaz
2021,Pilar Loureiro
2024,Teresa Rocha
2028,Nádia Torres
2031,Sérgio Freitas
2036,Caetana Loureiro
2037,Samuel Pinho
2044,Íris Pinho-Gaspar
2045,Íris Ribeiro-Vieira
2048,Núria Neves
2049,Bernardo Melo
2050,Marco Matias
2055,Erica Almeida
2059,Maria Costa-Freitas
2060,Kelly Fernandes
2073,Marco Lima
2076,Filipa Moura
2080,Irina-Débora Tavares
2084,Joaquim Leal
2093,Luna-Alexandra Vicente
2098,Amélia-Ema Matias
2105,Rodrigo Nogueira
2110,Yasmin Mota-Esteves
2117,Ângelo Anjos-Costa
2120,Mafalda Pires
2125,Nádia Vieira
2126,Vítor Amaral-Sá
2127,Daniela Esteves
2137,Renata Fernandes
2141,Leonor Pinho
2145,David Castro-Branco
2152,Emanuel Sousa
2160,Matilde Lima
2162,Victória da Almeida
2167,Vitória da Lourenço
2168,Bárbara Pinto
2171,Gonçalo Torres
2173,Luna Leite
2174,Mélanie Simões
2178,César Abreu
2182,Flor Nascimento
2183,Carlos Faria-Baptista
2184,Rafaela Sá
2187,Ângela Amorim
2189,Wilson Fernandes
2190,Teresa Cruz
2191,Ricardo Valente
2193,Tatiana Cardoso
2198,Bryan do Gomes
2208,Vítor Ribeiro-Monteiro
2210,Duarte Matias-Oliveira
2214,Amélia Mota
2216,Daniela do Carneiro
2218,Francisca Silva
2220,Carminho Freitas
2221,Inês Fonseca
2224,Leonor Sousa
2239,Mara Vaz
2241,Lúcia Vaz
2245,Álvaro Silva
2246,Rafael Mendes
2251,Nicole Campos
2254,Micael Moreira
2255,Margarida Borges
2256,Bianca Fonseca
2258,Margarida Tavares
2262,Martim Pinho
2267,Benedita Azevedo
2269,Flor Moreira
2274,Pilar-Violeta Leite
2288,Mafalda Reis
2290,Kyara Ribeiro
2294,Igor Loureiro
2301,Isabela do Batista
2302,Mia Faria
2303,Valentim Mendes-Costa
2305,Margarida Brito
2306,Margarida Borges
2307,Fabiana Andrade-Anjos
2310,Lucas da Andrade
2312,Pedro Lopes
2322,Sebastião Carneiro-Assunção
2325,Larissa Simões
2327,Juliana Almeida-Santos
2332,Miriam Maia
2333,Erica Tavares-Sousa
2334,Rafael de Miranda
2337,Isaac Moreira
2347,Adriana Esteves
2348,Inês Cunha
2349,William Lopes
2350,Hugo Santos
2351,Caetana Pires
2352,Rodrigo Gaspar
2353,Vitória Branco
2354,Joana-Erika Ferreira
2355,Andreia da Cardoso
2365,Andreia Castro
2373,Miriam Vicente
2383,Noa Leite
2396,Frederico Pereira
2402,Dinis Miranda-Magalhães
2403,Gabriel Castro
2405,Gustavo Lima
2407,Carminho Fonseca
2419,Larissa Figueiredo
2420,Gabriel Cruz
2424,Mara Loureiro
2426,Bernardo Moura
2428,Renato Baptista
2433,Luna da Neves
2441,Joana-Jéssica Melo
2446,Lia de Garcia
2447,Ismael Pacheco
2449,Ariana-Valentina Soares
2452,Íris Carneiro
2458,Leonor Lima
2467,Leandro Domingues
2469,Lia Loureiro
2470,Enzo Macedo
2472,Margarida Branco
2473,Teresa Moura-Moura
2474,Petra-Yara Santos
2480,Rui Anjos
2491,Enzo Tavares-Henriques
2493,Alexandra Rodrigues-Teixeira
2497,César Azevedo
2501,Bruna Pinheiro
2506,Jaime Marques
2510,Enzo Pinheiro
2514,Duarte Figueiredo
2515,Vicente Mota
2519,Ivan Branco
2524,Rafaela-Miriam Barbosa
2527,Clara Pacheco-Guerreiro
2528,Lucas Carneiro
2529,Mauro Ferreira
2534,Beatriz Moreira
2537,Nelson da Amorim
2538,Érica Campos
2539,Joel Teixeira
2540,Pilar Lourenço
2545,Gonçalo Teixeira
2547,Ismael Lima
2549,Larissa Pacheco
2552,Eva do Tavares
2554,Rafaela da Rocha
2555,Íris-Victória Garcia
2557,Ismael Mendes
2564,Larissa-Rita Amaral
2567,Teresa Freitas
2568,Leonor Teixeira
2569,Rui Melo
2574,Juliana Pires
2575,Luana Matias-Magalhães
2592,Lisandro Simões
2594,Mariana Branco
2596,Mafalda Rocha-Alves
2597,Filipe Esteves
2598,Carlota Barbosa
2603,Jorge da Santos
2610,Lorena Loureiro
2611,Luciana Vaz
2616,Artur Mota
2618,Sérgio Coelho-Pires
2619,Kevin Gaspar
2624,Irina Barbosa
2625,Ângelo Silva
2632,Afonso Baptista
2634,Bernardo de Santos
2636,Rafael da Costa
2638,Gustavo Ribeiro
2642,Afonso Domingues
2649,Frederico Branco
2653,Wilson Oliveira
2658,Manuel Amaral
2663,Mariana Carneiro
2675,Teresa-Catarina Correia
2678,Tomás Simões
2680,Amélia Marques
2682,Marta-Camila Cardoso
2685,Mateus Matos
2687,Martim Pacheco
2689,João Brito
2697,Vitória Magalhães
2699,Afonso Cardoso
2702,Sandro Correia
2708,Nelson Azevedo
2709,Beatriz Azevedo
2714,Kevin Amorim
2716,Eva Sousa
2721,Afonso Torres-Nunes
2722,Kévim Assunção
2725,Flor Nascimento
2728,Larissa Correia
2735,Nádia do Branco
2737,Diana Tavares
2738,Marcos Maia
2740,Ema Antunes-Coelho
2742,Denis Leite
2745,Mélanie Neves-Tavares
2747,Rodrigo Domingues
2748,Sebastião Ramos
2750,Valentina Teixeira
2751,Kelly-Andreia Tavares
2752,Francisca Paiva
2757,Simão Carvalho
2761,Adriana Maia
2763,Gabriela-Luana Soares
2764,Camila Torres
2768,Nádia Borges
2773,Jéssica Amorim-Almeida
2776,Renato da Vicente
2782,Lia Campos
2790,Jorge Amaral
2795,Xavier Vicente
2796,Adriana Assunção
2799,Sebastião Matias
2800,Tatiana Vaz
2802,Marcos Abreu-Pereira
2807,Filipa Macedo
2808,Fábio Brito
2811,Daniela Anjos
2813,Eduardo da Correia
2816,Mara Pacheco-Vieira
2822,Fabiana Henriques
2828,Carminho Neto
2834,Gonçalo Amaral-Cunha
2835,Diana Pacheco-Castro
2838,Gil Cunha
2842,Marcos Domingues
2843,Gabriela Anjos
2845,Noah Antunes
2852,Gaspar Nascimento
2855,Fabiana Machado
2859,Anita Campos
2864,Vicente Coelho
2867,Vitória Faria
2871,Anita Faria
2874,Joel Neves
2876,Luciana Anjos
2877,Gil Sá-Anjos
2878,Madalena Soares
2880,Martim Fernandes
2888,Bárbara Miranda
2889,Gabriel Mota
2895,Renato Castro
2905,Ângelo Rocha
2907,Flor da Lima
2923,Pilar Ferreira
2924,Inês-Alice Martins
2928,Laura Cunha
2935,Sofia Simões
2940,Bryan Amorim
2943,Ivo Anjos
2952,Kyara Machado
2957,Erica Leite
2961,Rafaela Simões
2962,Tomás Amaral
2969,Hugo Gomes
2976,Gil Carvalho
2979,Petra Esteves
2985,Fábio Borges
2990,Álvaro Costa
2998,Duarte Reis
3007,Petra Machado
3019,Bryan Cardoso-Rocha
3022,Marco Lima-Esteves
3031,Mateus Marques
3042,Yasmin Moreira
3045,Gustavo Alves
